타임스탬프,1. 성별,2. 나이대,3. 어떤 종류의 혐오포현에 불쾌감을 자주 느끼나요?,4. 혐오표현을 자주 쓰거나 접한다고 생각하시나요?,4-1. (4번 질문에 '네'라고 답변하신 분들) 혐오표현을 자주 접하는 곳은 어디인가요?,5. 혐오표현을 접할 때 혐오표현이라고 인식하시나요?,"6. 자주 쓰게 되는 혐오표현에는 무엇이 있나요? (ex. 병X, 잼민이, 장애우 등)",6-1. 혐오표현을 사용하게 되는 이유는?,"7. 혐오 표현을 줄일 수 있고, 줄여야 한다고 생각하나요?"
2021. 9. 28 오전 11:24:48,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,SNS,네,"결정장애, 분노장애",주변 영향으로,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 2:47:18,남성,10대,"장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등)",네,SNS,아니오,"씨X, 병X, 존나",어감이 좋아서,"줄일 수 없고, 줄일 필요도 없다."
2021. 9. 28 오후 2:56:46,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",네,SNS,네,잼민이,주변 영향으로,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 3:15:45,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,SNS,네,없음,쓰지 않음,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 3:15:53,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,친구,네,미친놈,어감이 좋아서,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 3:16:15,여성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 연령 혐오 (ex. 잼민이, 꼰대, X린이 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",네,학교,네,잼민이,친구를 놀릴때 쓰려고,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 3:30:40,남성,10대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,잼민이,어감이 좋아서,"줄여야 하는데, 줄일 수 없다."
2021. 9. 28 오후 4:09:52,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,네,"돼지, 장애우",익숙해져서 습관적으로,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 4:21:23,남성,50대,"인종, 민족 혐오 (ex. 깜둥이, 혼혈아, 조선족, 짱깨, 칭챙총 등), 장애 혐오 (ex. 장애우, 벙어리 장갑, 귀머거리 등), 질병 혐오 (ex. 알러지 옮는다, 간질 등), 체형 혐오 (ex. 멸치, 돼지, 젓가락 등)",아니요,,아니오,,,"줄일 수 있고, 줄여야 한다."
2021. 9. 28 오후 4:22:32,여성,40대,"성별 혐오 (ex. 여편네, 치맛바람, 여XX, 한남충 등)",아니요,,네,병X,,"줄일 수 있고, 줄여야 한다."
